"id","email_campaign_id","sent_action_id","contact_id","email_action_type","link","created_at","action_time","created_by","updated_by","updated_at"
"33811","11","api-qVIvMF0MgbDOFUZNwKglTIp2MIE8VbqD","5189","2","","2016-03-03 00:00:00","2016-03-03 14:22:34","1","",""
"33812","16","api-e0m5yED3Bx6JOCge64cH0Q56DFhTPlxv","3624","1","","2016-03-03 00:00:00","2016-03-03 14:21:05","1","",""
"33813","10","api-qVIvMF0MgbDOFUZNwKglTIp2MIE8VbqD","5189","2","","2016-03-03 00:00:00","2016-03-03 14:22:34","1","",""
"33814","14","9v1pr2vx-4d503cd9fdadd325f2f07b49c590bf24","6762","1","","2016-02-04 00:00:00","2016-02-04 14:56:42","1","",""
"33815","14","v6vxiquf-dcb85f2226468748d77368f1fa65aed9","1675","1","","2016-02-04 00:00:00","2016-02-04 14:59:56","1","",""
"33816","15","f0ywh5fi-9e4ad2d2b1e2500d3cdd7dca9169e4cd","4637","1","","2016-02-05 00:00:00","2016-02-05 14:54:52","1","",""
"33817","21","ngc6pgjh-4cc7bc99e92648ade5fcdc801157df14","2391","1","","2016-02-18 00:00:00","2016-02-18 14:47:08","1","",""
"33818","1","api-qYMCQxbU3hVQ6oqYqo8MD5MtnXk7hmwo","7274","1","","2016-03-03 00:00:00","2016-03-03 14:22:49","1","",""
"33819","12","h9g8jkcu-c3fc63c639331afa86b3241ba6e79a85","2021","1","","2016-02-05 00:00:00","2016-02-05 14:36:52","1","",""
"33820","2","api-qYMCQxbU3hVQ6oqYqo8MD5MtnXk7hmwo","7274","1","","2016-03-03 00:00:00","2016-03-03 14:22:49","1","",""
"33821","14","774sxwi6-202114553c68164e9d4eab974dea1f9e","7795","1","","2016-02-04 00:00:00","2016-02-04 14:57:23","1","",""
"33822","22","ngc6pgjh-4cc7bc99e92648ade5fcdc801157df14","2391","1","","2016-02-18 00:00:00","2016-02-18 14:47:08","1","",""
"33823","8","api-oHqnRtqkTDh1rq45z0E1umY5lZiGV9FV","4366","1","","2016-03-03 00:00:00","2016-03-03 14:04:15","1","",""
"33824","23","ngc6pgjh-4cc7bc99e92648ade5fcdc801157df14","2391","1","","2016-02-18 00:00:00","2016-02-18 14:47:08","15","",""
"33825","7","api-oHqnRtqkTDh1rq45z0E1umY5lZiGV9FV","4366","1","","2016-03-03 00:00:00","2016-03-03 14:04:15","1","",""
"33826","15","w8y13irk-eed7ae7791bc9520af7321d1a664218c","3590","1","","2016-02-04 00:00:00","2016-02-04 16:12:00","1","",""
"33827","24","api-1J6DZINOW1En0Dsx53tyqwkHNqXuU9Ht","4366","1","","2016-03-03 00:00:00","2016-03-03 14:28:05","21","",""
"33828","25","ngc6pgjh-4cc7bc99e92648ade5fcdc801157df14","2391","1","","2016-02-18 00:00:00","2016-02-18 14:47:08","1","",""
"33829","8","2qvkn5cn-26c8378f4fffa7bd486d90ab4b0b0c1e","2904","1","","2016-02-05 00:00:00","2016-02-05 14:32:03","1","",""
"33830","7","2qvkn5cn-26c8378f4fffa7bd486d90ab4b0b0c1e","2904","1","","2016-02-05 00:00:00","2016-02-05 14:32:03","1","",""
"33831","16","api-qYMCQxbU3hVQ6oqYqo8MD5MtnXk7hmwo","7274","1","","2016-03-03 00:00:00","2016-03-03 14:22:49","1","",""
"33832","12","774sxwi6-202114553c68164e9d4eab974dea1f9e","7795","1","","2016-02-04 00:00:00","2016-02-04 14:57:23","1","",""
"33833","14","h9g8jkcu-c3fc63c639331afa86b3241ba6e79a85","2021","1","","2016-02-05 00:00:00","2016-02-05 14:36:52","1","",""
"33834","5","reb08b47-19419e94395598bc30012e6b729f6917","5278","1","","2016-02-05 00:00:00","2016-02-05 14:32:46","1","",""
"33835","8","wy2lvdhd-7fafdbf2f017be8a3f19ef649d4bb21c","6925","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
"33836","12","v6vxiquf-dcb85f2226468748d77368f1fa65aed9","1675","1","","2016-02-04 00:00:00","2016-02-04 14:59:56","1","",""
"33837","7","wy2lvdhd-7fafdbf2f017be8a3f19ef649d4bb21c","6925","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
"33838","15","a8uiqvhw-23ea5bf04615ce4f9c510667879982f4","7050","1","","2016-02-04 00:00:00","2016-02-04 14:57:36","1","",""
"33839","10","api-qYMCQxbU3hVQ6oqYqo8MD5MtnXk7hmwo","7274","1","","2016-03-03 00:00:00","2016-03-03 14:22:49","1","",""
"33840","11","api-qYMCQxbU3hVQ6oqYqo8MD5MtnXk7hmwo","7274","1","","2016-03-03 00:00:00","2016-03-03 14:22:49","1","",""
"33841","15","e1lnbwkj-951876a5e7538c669f90b623a171d09c","2728","1","","2016-02-05 00:00:00","2016-02-05 14:37:03","1","",""
"33842","12","9v1pr2vx-4d503cd9fdadd325f2f07b49c590bf24","6762","1","","2016-02-04 00:00:00","2016-02-04 14:56:42","1","",""
"33843","2","api-qVIvMF0MgbDOFUZNwKglTIp2MIE8VbqD","5189","2","","2016-03-03 00:00:00","2016-03-03 14:22:34","1","",""
"33844","8","xm8xjxfb-40fb9ae6c75d59850aa1e7f09e4ce5aa","5241","1","","2016-02-05 00:00:00","2016-02-05 14:32:58","1","",""
"33845","1","api-qVIvMF0MgbDOFUZNwKglTIp2MIE8VbqD","5189","2","","2016-03-03 00:00:00","2016-03-03 14:22:34","1","",""
"33846","7","xm8xjxfb-40fb9ae6c75d59850aa1e7f09e4ce5aa","5241","1","","2016-02-05 00:00:00","2016-02-05 14:32:58","1","",""
"33847","14","cuvgpknl-d7f4f42a89acc3732d030f2699d4b419","4675","1","","2016-02-04 00:00:00","2016-02-04 14:58:45","1","",""
"33848","8","bvfuvrvf-1fde45aa74f66b547020cb3aa84beac7","5276","1","","2016-02-05 00:00:00","2016-02-05 14:36:31","1","",""
"33849","7","bvfuvrvf-1fde45aa74f66b547020cb3aa84beac7","5276","1","","2016-02-05 00:00:00","2016-02-05 14:36:31","1","",""
"33850","2","api-e0m5yED3Bx6JOCge64cH0Q56DFhTPlxv","3624","1","","2016-03-03 00:00:00","2016-03-03 14:21:05","1","",""
"33851","1","api-e0m5yED3Bx6JOCge64cH0Q56DFhTPlxv","3624","1","","2016-03-03 00:00:00","2016-03-03 14:21:05","1","",""
"33852","5","usnrkbyv-516fea943bcea4df1750e539f493d6d9","6898","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
