"0 TO 60 RECRUITMENT&CONSULTANCY LIMITED","09899447","314 MIDSUMMER BOULEVARD",,"MILTON KEYNES","BUCKINGHAMSHIRE","MK9 2UB","Active","02/12/2015",,"0","NO ACCOUNTS FILED"
"03927290 LIMITED","03927290","5TH FLOOR","215, GREAT PORTLAND STREET","LONDON",,"W1W 5PN","Liquidation","16/02/2000",,"0","FULL"
"04965166 LIMITED","04965166","26 RED LION SQUARE",,"LONDON",,"WC1R 4AG","Active","17/11/2003",,"2","TOTAL EXEMPTION SMALL"
"05580810 LIMITED","05580810","40 AVINGDOR COURT","1D HORN LANE","ACTON","LONDON","W3 6GE","Active - Proposal to Strike off","03/10/2005",,"0","TOTAL EXEMPTION SMALL"
"09237940 LIMITED","09237940","83 DUCIE STREET",,"MANCHESTER",,"M1 2JQ","Active","26/09/2014",,"0","NO ACCOUNTS FILED"
"1 2 1 RECRUITMENT CONSULTANTS LIMITED","08359864","17 HANOVER SQUARE",,"LONDON",,"W1S 1BN","Active","14/01/2013",,"1","TOTAL EXEMPTION SMALL"
"1 CALL DRIVING SOLUTIONS LIMITED","06762372","43 CHURCH LANE",,"PUDSEY","WEST YORKSHIRE","LS28 7RR","Active","01/12/2008",,"0","TOTAL EXEMPTION SMALL"
"1 CALL LABOUR SERVICES LIMITED","07073637","9 POPES CRESCENT",,"BASILDON","ESSEX","SS13 3AD","Liquidation","12/11/2009",,"0","TOTAL EXEMPTION SMALL"
"1 DIAMOND HOME CARE LTD","07793825","UNIT 9E1 CARCROFT ENTERPRISE PARK","STATION ROAD, CARCROFT","DONCASTER","SOUTH YORKSHIRE","DN6 8DD","Active","30/09/2011",,"1","TOTAL EXEMPTION SMALL"
"1 EMPIRE LIMITED","09086075","11 TREFOIL CLOSE",,"RUSHDEN","NORTHAMPTONSHIRE","NN10 0PN","Active","13/06/2014",,"0","NO ACCOUNTS FILED"
"1 FOUR 1 RECRUITMENT LIMITED","06620391","10 TILGATE PARADE",,"CRAWLEY","WEST SUSSEX","RH10 5EQ","Active","16/06/2008",,"2","TOTAL EXEMPTION SMALL"
"1 STOP REC LIMITED","06620231","30 MILTON ROAD",,"WESTCLIFFON SEA","ESSEX","SS0 7JX","Active","16/06/2008",,"0","TOTAL EXEMPTION SMALL"
"1-1 RECRUITMENT (ANDOVER) LIMITED","04827061","THE LONG BARN SOUTH WINCHESTER GOLF COURSE","PITT","WINCHESTER","HAMPSHIRE","SO22 5QX","Active - Proposal to Strike off","09/07/2003",,"2","TOTAL EXEMPTION SMALL"
"1-1 RECRUITMENT (WINCHESTER) LIMITED","05334205","THE LONG BARN SOUTH WINCHESTER GOLF COURSE","ROMSEY ROAD PITT","WINCHESTER","HAMPSHIRE","SO22 5QX","Active - Proposal to Strike off","17/01/2005",,"0","TOTAL EXEMPTION SMALL"
"1-1 RECRUITMENT HOLDINGS LIMITED","09908484","THE LONG BARN","SOUTH WINCHESTER GOLF CLUB","WINCHESTER",,"SO22 5QX","Active","09/12/2015",,"0","NO ACCOUNTS FILED"
